PCS,Baseline,Time,Power,Cycle
HeatedBlanket,FALSE,1/1/00 0:34:10,1211,
HeatedBlanket,FALSE,1/1/00 0:34:15,3,
HeatedBlanket,FALSE,1/1/00 0:34:20,59.5,
HeatedBlanket,FALSE,1/1/00 0:34:25,0,
HeatedBlanket,FALSE,1/1/00 0:34:30,60.7,
HeatedBlanket,FALSE,1/1/00 0:34:35,0,
HeatedBlanket,FALSE,1/1/00 0:34:40,116.5,
HeatedBlanket,FALSE,1/1/00 0:34:45,0,
HeatedBlanket,FALSE,1/1/00 0:34:50,59.9,
HeatedBlanket,FALSE,1/1/00 0:34:55,0,
HeatedBlanket,FALSE,1/1/00 0:35:00,53.9,
HeatedBlanket,FALSE,1/1/00 0:35:05,0,
HeatedBlanket,FALSE,1/1/00 0:35:10,66.7,
HeatedBlanket,FALSE,1/1/00 0:35:15,0,
HeatedBlanket,FALSE,1/1/00 0:35:20,118.6,
HeatedBlanket,FALSE,1/1/00 0:35:25,9.1,
HeatedBlanket,FALSE,1/1/00 0:35:30,68.8,
HeatedBlanket,FALSE,1/1/00 0:35:35,49.2,
HeatedBlanket,FALSE,1/1/00 0:35:40,11,
HeatedBlanket,FALSE,1/1/00 0:35:45,0,
HeatedBlanket,FALSE,1/1/00 0:35:50,59.3,
HeatedBlanket,FALSE,1/1/00 0:35:55,13.1,
HeatedBlanket,FALSE,1/1/00 0:36:00,45.5,
HeatedBlanket,FALSE,1/1/00 0:36:05,44.7,
HeatedBlanket,FALSE,1/1/00 0:36:10,0,
HeatedBlanket,FALSE,1/1/00 0:36:15,0,
HeatedBlanket,FALSE,1/1/00 0:36:20,17.8,
HeatedBlanket,FALSE,1/1/00 0:36:25,100.3,
HeatedBlanket,FALSE,1/1/00 0:36:30,29,
HeatedBlanket,FALSE,1/1/00 0:36:35,98.7,
HeatedBlanket,FALSE,1/1/00 0:36:40,80.3,
HeatedBlanket,FALSE,1/1/00 0:36:45,59.6,
HeatedBlanket,FALSE,1/1/00 0:36:50,0,
HeatedBlanket,FALSE,1/1/00 0:36:55,36,
HeatedBlanket,FALSE,1/1/00 0:37:00,0,
HeatedBlanket,FALSE,1/1/00 0:37:05,59.5,
HeatedBlanket,FALSE,1/1/00 0:37:10,24.9,
HeatedBlanket,FALSE,1/1/00 0:37:15,92.7,
HeatedBlanket,FALSE,1/1/00 0:37:20,0,
HeatedBlanket,FALSE,1/1/00 0:37:25,341,
HeatedBlanket,FALSE,1/1/00 0:37:30,0,
HeatedBlanket,FALSE,1/1/00 0:37:35,86.3,
HeatedBlanket,FALSE,1/1/00 0:37:40,31.6,
HeatedBlanket,FALSE,1/1/00 0:37:45,90.2,
HeatedBlanket,FALSE,1/1/00 0:37:50,0,
HeatedBlanket,FALSE,1/1/00 0:37:55,30.3,
HeatedBlanket,FALSE,1/1/00 0:38:00,59.5,
HeatedBlanket,FALSE,1/1/00 0:38:05,91.1,
HeatedBlanket,FALSE,1/1/00 0:38:10,27,
HeatedBlanket,FALSE,1/1/00 0:38:15,33.7,
HeatedBlanket,FALSE,1/1/00 0:38:20,0,
