Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/07  16:00:00,4547102.167286776,3549357.552769049,3549357.552769049,3549357.552769049,427976.762960823,562805.9123900677 
 02/07  17:00:00,7201143.4867358375,4479188.816479392,4479188.816479392,4479188.816479392,1522212.887760378,1184746.8365982661 
 02/07  18:00:00,8846097.877635948,5624286.233621349,5624286.233621349,5624286.233621349,1423949.12237809,1776976.7041360014 
 02/07  19:00:00,9869878.249903714,6045788.3062472865,6045788.3062472865,6045788.3062472865,1803589.1842159538,1804283.4699403143 
 02/07  20:00:00,10405787.130560089,5971945.160957614,5971945.160957614,5971945.160957614,2403306.3358477266,1811275.5386746777 
 02/07  21:00:00,10904335.538593102,5899533.255808762,5899533.255808762,5899533.255808762,2989453.790842085,1796088.3968621844 
 02/07  22:00:00,11857819.986987067,5386254.039457358,5386254.039457358,5386254.039457358,4484889.313866972,1775011.3813101256 
 02/07  23:00:00,11860737.085779378,4262786.538241955,4262786.538241955,4262786.538241955,5658622.628083462,1738105.5758516043 
 02/07  24:00:00,11656486.956108443,3276627.552965166,3276627.552965166,3276627.552965166,6485423.970846089,1700978.3285347645 
 02/08  01:00:00,10684430.167160043,2498479.0097388276,2498479.0097388276,2498479.0097388276,7995707.2563511785,0.0 
 02/08  02:00:00,11218599.856534608,2287908.203727021,2287908.203727021,2287908.203727021,8740447.75173755,0.0 
 02/08  03:00:00,11673003.946579963,2218387.455766968,2218387.455766968,2218387.455766968,9264372.589742957,0.0 
 02/08  04:00:00,11782205.581676302,2167160.80380385,2167160.80380385,2167160.80380385,9424800.876802415,0.0 
