Block,Random.Number,Chamber.SetPoint,Clothing,Bedding,Posture,Emergency.Blanket,Bed.Type,PCS,Repetition,Reference,Baseline,Repeated.2,Repeated.3,Skip,Notes,Start.Time,End.Time,Comments,IR.Image
5,0.666255736,16,Heavy,Heavy,Fetal,TRUE,Mattress,ElectricMPLow,1,FALSE,FALSE,FALSE,FALSE,FALSE,"Electric mattress pad, all passive",2/5/2022 10:47,2/5/2022 14:47,Setting = 1/10 (low),IR_5960 - IR_5965
5,0.666255736,16,Heavy,Heavy,Fetal,TRUE,Mattress,ElectricMPHigh,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Electric mattress pad, all passive",2/5/2022 14:53,2/5/2022 16:45,Setting = 3/10,IR_5966-IR_5969
5,0.607932227,16,Nude,None,Fetal,FALSE,Slat,None,4,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,2/5/2022 17:17,2/5/2022 18:17,,
5,0.446692282,16,Nude,None,Fetal,FALSE,Slat,None,3,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,2/5/2022 19:00,2/5/2022 20:45,,IR_5970-IR_5972
5,0.789698171,16,Light,Light,Log,FALSE,Mattress,HydropoweredMP,1,FALSE,FALSE,TRUE,TRUE,FALSE,"Hydropowered mattress pad, baseline",2/6/2022 13:38,2/6/2022 21:38,,
5,0.72495769,16,Heavy,Heavy,Fetal,TRUE,Mattress,None,2,FALSE,FALSE,TRUE,FALSE,FALSE,All passive strategies 2,2/7/2022 12:21,2/7/2022 14:17,,IR_5976-IR_5979
5,0.144093418,16,Light,Light,Log,FALSE,Mattress,HeatedBlanket,2,FALSE,FALSE,TRUE,TRUE,FALSE,"Heated blanket, baseline 2",2/7/2022 14:34,2/7/2022 16:11,,IR_5980-IR_5983
5,0.782986983,16,Light,Light,Fetal,FALSE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Posture in isolation,2/7/2022 16:19,2/7/2022 18:39,,IR_5985-IR_5987
1,0.277773537,16,Nude,None,Fetal,FALSE,Slat,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,2/7/2022 18:51,2/7/2022 19:54,,IR_5988-IR_5990
5,0.820807123,16,Nude,None,Log,FALSE,Slat,None,3,TRUE,FALSE,TRUE,TRUE,FALSE,For calculating h,2/7/2022 19:59,2/7/2022 20:50,,
5,0.674592516,16,Heavy,Heavy,Fetal,TRUE,Mattress,HydropoweredMP,1,FALSE,FALSE,TRUE,FALSE,FALSE,"Hydropowered mattress pad, all passive",2/7/2022 21:07,2/8/2022 5:00,,
5,0.534504862,16,Heavy,Light,Log,FALSE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Clothing in isolation,2/8/2022 12:31,2/8/2022 14:00,,IR_5991-IR_5994
5,0.600005745,16,Light,Light,Log,TRUE,Mattress,None,1,FALSE,FALSE,FALSE,FALSE,FALSE,Emergency blanket in isolation,2/8/2022 14:11,2/8/2022 17:29,,IR_5995-IR_IR_5997
