Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/07  08:00:00,17210322.255289134,3872409.4070758065,3872409.4070758065,3872409.4070758065,9634084.966510154,3690439.537151561 
 02/07  09:00:00,14707245.995325603,3436548.288166884,3436548.288166884,3436548.288166884,9406024.331041498,1858782.5045145159 
 02/07  10:00:00,13223449.288202334,3287629.4627914913,3287629.4627914913,3287629.4627914913,8085131.362689424,1846671.9593559364 
 02/07  11:00:00,10005662.685820377,3359522.254572048,3359522.254572048,3359522.254572048,4822652.1246892465,1819471.8031936006 
 02/07  12:00:00,8097868.125870872,3405817.7973429887,3405817.7973429887,3405817.7973429887,2897015.9737929776,1791017.8513694233 
 02/07  13:00:00,6277673.325022528,3343416.5845005065,3343416.5845005065,3343416.5845005065,1160424.6653091148,1769815.5718474232 
 02/07  14:00:00,5191061.459626147,3277253.218523652,3277253.218523652,3277253.218523652,154285.71428571438,1755506.0234512973 
 02/07  15:00:00,5173214.703703046,3272159.2094632606,3272159.2094632606,3272159.2094632606,154285.71428571438,1742753.2765885894 
 02/07  16:00:00,5447727.3001801055,3549357.552769049,3549357.552769049,3549357.552769049,154285.71428571438,1737122.0939585064 
 02/07  17:00:00,4648469.476662908,4479188.816479392,4479188.816479392,4479188.816479392,154285.71428571438,0.0 
 02/07  18:00:00,7576111.681319546,5624286.233621349,5624286.233621349,5624286.233621349,154285.71428571438,1776653.9159119742 
 02/07  19:00:00,9571534.386655575,6045788.3062472865,6045788.3062472865,6045788.3062472865,1505198.907772962,1804329.8831351663 
 02/07  20:00:00,11840523.93251181,5971945.160957614,5971945.160957614,5971945.160957614,3332160.326914261,2317158.3495598636 
 02/07  21:00:00,12950429.57998363,5899533.255808762,5899533.255808762,5899533.255808762,4522543.020928376,2309093.2081664214 
 02/07  22:00:00,11809823.44412684,5386254.039457358,5386254.039457358,5386254.039457358,5440466.571921488,771437.5803953822 
 02/07  23:00:00,12994859.997444898,4262786.538241955,4262786.538241955,4262786.538241955,6792772.674382485,1738078.4412180989 
 02/07  24:00:00,13750321.300888697,3276627.552965166,3276627.552965166,3276627.552965166,8579309.845201865,1700926.7989592443 
 02/08  01:00:00,12576941.263773333,2498479.0097388276,2498479.0097388276,2498479.0097388276,9888218.352964468,0.0 
 02/08  02:00:00,13539294.77229229,2287908.203727021,2287908.203727021,2287908.203727021,11061142.66749523,0.0 
 02/08  03:00:00,14715389.520499662,2218387.455766968,2218387.455766968,2218387.455766968,12306758.163662655,0.0 
