Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/12  12:00:00,1.8833333333333335,22.22144913380697,4.264591331498116,20282921.356336646,3245056.7517732778,3245056.7517732778,3245056.7517732778,15255438.661641546,1778409.4395563398 
 02/12  13:00:00,3.4416666666666664,22.22117751346528,5.6897872695235945,18846502.73568608,3197289.398662933,3197289.398662933,3197289.398662933,13886724.479009783,1758472.354647883 
 02/12  14:00:00,4.891666666666667,22.221476417702053,6.95945297624059,16957760.80752096,3143544.016284607,3143544.016284607,3143544.016284607,12064551.47054283,1745648.8173280426 
 02/12  15:00:00,5.25,22.22244827482176,7.352373555896961,15658341.303495705,3152610.4832543777,3152610.4832543777,3152610.4832543777,10767332.447169933,1734381.8697059094 
 02/12  16:00:00,5.0,22.222483762539753,7.035734469179805,13256711.32215847,3436226.8211706067,3436226.8211706067,3436226.8211706067,9813522.561821029,0.0 
 02/12  17:00:00,5.0,22.222514633852285,6.948417235240623,14805863.250852404,4368891.063756271,4368891.063756271,4368891.063756271,8677794.411263779,1744182.8299345523 
 02/12  18:00:00,4.3583333333333325,22.22253923912189,6.380476244991688,15333778.056414457,5514884.4344747625,5514884.4344747625,5514884.4344747625,8029906.055793223,1768101.7486459645 
 02/12  19:00:00,2.908333333333333,22.222511385250147,5.128891853500014,16922408.097946152,5936377.747743254,5936377.747743254,5936377.747743254,8974778.257455453,1795034.8032472846 
 02/12  20:00:00,1.9083333333333332,22.22254933848318,4.212163686249133,17405318.059333708,5860851.394397255,5860851.394397255,5860851.394397255,9524159.939577632,1801046.6302787508 
 02/12  21:00:00,0.7083333333333335,22.22255054192129,3.192343943959457,18528936.963962108,5788324.826793473,5788324.826793473,5788324.826793473,10735081.391317913,1786270.6507706502 
 02/12  22:00:00,-0.35000000000000003,22.222539576803275,2.3113568793366164,19332167.544504486,5275040.848512863,5275040.848512863,5275040.848512863,12079045.295726089,1766416.1479129232 
 02/12  23:00:00,-1.2416666666666667,22.22249960678538,1.7233303460975715,19969697.71166757,4175767.1653783405,4175767.1653783405,4175767.1653783405,13966458.40046505,1626249.8022218223 
 02/12  24:00:00,-1.3500000000000003,22.222468091875985,1.384537514753793,18952528.10803149,3228431.3064444675,3228431.3064444675,3228431.3064444675,15426718.437639441,103921.26018515485 
 02/13  01:00:00,-1.0999999999999999,22.22243400386051,1.6386952667687051,18933352.464283075,2519341.8750856025,2519341.8750856025,2519341.8750856025,16223766.688127436,0.0 
 02/13  02:00:00,-1.45,22.22240983666985,1.5832365138175974,19581397.56067898,2300485.626558334,2300485.626558334,2300485.626558334,17090668.033050608,0.0 
 02/13  03:00:00,-1.7,22.222397324676123,1.2844722513997873,21890049.441195488,2226600.0926204654,2226600.0926204654,2226600.0926204654,17824761.023330633,1648444.424174351 
 02/13  04:00:00,-1.7,22.222762540154832,2.328298739510258,20183837.89924494,2171740.4070940726,2171740.4070940726,2171740.4070940726,17821853.59108083,0.0 
 02/13  05:00:00,-2.341666666666667,22.2229955053237,2.277412970575732,20769191.77459229,2335718.210080423,2335718.210080423,2335718.210080423,18238945.393185314,0.0 
 02/13  06:00:00,-3.4416666666666664,22.223071751153554,0.8604533458481355,23898656.97243301,2902111.397117286,2902111.397117286,2902111.397117286,19171829.325224362,1623226.1395979726 
 02/13  07:00:00,-2.6166666666666667,22.22303797001692,0.8860047546911431,23871969.695665512,3490045.529346395,3490045.529346395,3490045.529346395,18478853.023176424,1888076.1972448924 
 02/13  08:00:00,-1.3500000000000003,22.222787600678682,3.2581773529616576,22609327.812036745,3872409.4070758065,3872409.4070758065,3872409.4070758065,16879144.055231635,1844386.0051776958 
 02/13  09:00:00,0.8250000000000001,22.222658720609886,4.668111534324466,20749160.640464094,3436548.288166884,3436548.288166884,3436548.288166884,15448990.022797063,1857731.4578974373 
 02/13  10:00:00,2.841666666666667,22.22237737900682,5.757832091254554,19369870.018141944,3287629.4627914913,3287629.4627914913,3287629.4627914913,14232419.418693414,1845804.6332915584 
 02/13  11:00:00,3.9416666666666664,22.22273311400959,8.26387498158709,19187324.494565845,3359522.254572048,3359522.254572048,3359522.254572048,12186362.03447317,3637423.702155146 
