Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/16  05:00:00,21728436.864927813,2326991.86639299,2326991.86639299,2326991.86639299,17677551.774665426,1529365.0525428448 
 02/16  06:00:00,20563098.812191315,2888368.680950925,2888368.680950925,2888368.680950925,17334709.55543398,138530.46531301946 
 02/16  07:00:00,23202611.186687656,3455726.295687276,3455726.295687276,3455726.295687276,17931356.17184262,1800533.7732599569 
 02/16  08:00:00,18840663.123846732,3804342.957438114,3804342.957438114,3804342.957438114,13183122.43754616,1839809.384310851 
 02/16  09:00:00,16722396.941794354,3331560.1762823085,3331560.1762823085,3331560.1762823085,9687299.408841716,3697646.485067622 
 02/16  10:00:00,12418780.066020591,3145052.4172653225,3145052.4172653225,3145052.4172653225,7435126.3435459,1834584.8018438853 
 02/16  11:00:00,10798117.736755768,3201316.809840188,3201316.809840188,3201316.809840188,5784471.822968197,1808312.6005819002 
 02/16  12:00:00,10143999.696712982,3245056.7517732778,3245056.7517732778,3245056.7517732778,5112470.739775449,1782455.7017987734 
 02/16  13:00:00,8722872.231341463,3197289.398662933,3197289.398662933,3197289.398662933,3759294.4007732617,1762271.9285397858 
 02/16  14:00:00,6567079.525645195,3143544.016284607,3143544.016284607,3143544.016284607,2728232.0734793143,691286.9325157916 
 02/16  15:00:00,7788340.221361833,3152610.4832543777,3152610.4832543777,3152610.4832543777,3580410.193423283,1051303.0413186895 
 02/16  16:00:00,9569699.646372903,3436226.8211706067,3436226.8211706067,3436226.8211706067,4393358.596651835,1733152.2893836237 
 02/16  17:00:00,11331233.218102105,4368891.063756271,4368891.063756271,4368891.063756271,5199241.120581355,1748106.0878666784 
 02/16  18:00:00,12826777.01775415,5514884.4344747625,5514884.4344747625,5514884.4344747625,5518708.560297014,1772298.2054818643 
 02/16  19:00:00,14241021.093052242,5936377.747743254,5936377.747743254,5936377.747743254,6289493.702766517,1798932.3530423103 
 02/16  20:00:00,14372046.723439626,5860851.394397255,5860851.394397255,5860851.394397255,6487049.3799310345,1804885.8540312678 
 02/16  21:00:00,15248681.314124249,5788324.826793473,5788324.826793473,5788324.826793473,7450764.495277318,1790331.8969733887 
 02/16  22:00:00,14550222.091115661,5275040.848512863,5275040.848512863,5275040.848512863,7293119.351163989,1770396.6390861978 
 02/16  23:00:00,10927877.656876002,4175767.1653783405,4175767.1653783405,4175767.1653783405,6550888.147895304,0.0 
 02/16  24:00:00,12401072.054680306,3228431.3064444675,3228431.3064444675,3228431.3064444675,7277350.999776372,1701832.644697041 
 02/17  01:00:00,10476382.953028738,2498479.0097388276,2498479.0097388276,2498479.0097388276,7787660.042219874,0.0 
 02/17  02:00:00,10219996.201266127,2287908.203727021,2287908.203727021,2287908.203727021,7741844.096469068,0.0 
 02/17  03:00:00,10388780.251734097,2218387.455766968,2218387.455766968,2218387.455766968,7980148.894897091,0.0 
 02/17  04:00:00,12330519.355500424,2167160.80380385,2167160.80380385,2167160.80380385,8320229.090217456,1652885.5604090795 
 02/17  05:00:00,10937350.625965277,2326991.86639299,2326991.86639299,2326991.86639299,8415830.588245735,0.0 
 02/17  06:00:00,11093606.891414462,2888368.680950925,2888368.680950925,2888368.680950925,8003748.099970146,0.0 
 02/17  07:00:00,12726143.202145027,3455726.295687276,3455726.295687276,3455726.295687276,7376232.948995201,1879189.0115647512 
 02/17  08:00:00,13556697.877325488,3804342.957438114,3804342.957438114,3804342.957438114,6139689.618791549,3599276.9565442186 
 02/17  09:00:00,11236228.851996781,3331560.1762823085,3331560.1762823085,3331560.1762823085,6050291.84336435,1848485.9607474166 
 02/17  10:00:00,11783098.118044201,3145052.4172653225,3145052.4172653225,3145052.4172653225,6799514.32276173,1834514.8746516653 
 02/17  11:00:00,11577937.847498722,3201316.809840188,3201316.809840188,3201316.809840188,6564366.011934011,1808238.5223590417 
 02/17  12:00:00,11131157.169957176,3245056.7517732778,3245056.7517732778,3245056.7517732778,6099729.864419892,1782354.050398521 
 02/17  13:00:00,9908821.374722946,3197289.398662933,3197289.398662933,3197289.398662933,4945444.400909013,1762071.0717855203 
 02/17  14:00:00,8634338.344780026,3143544.016284607,3143544.016284607,3143544.016284607,3737267.436095299,1749510.3890346377 
 02/17  15:00:00,8070323.286749062,3152610.4832543777,3152610.4832543777,3152610.4832543777,3175148.041760939,1738548.258368263 
 02/17  16:00:00,6159862.770352576,3436226.8211706067,3436226.8211706067,3436226.8211706067,2716674.010015134,0.0 
 02/17  17:00:00,9598510.681886656,4368891.063756271,4368891.063756271,4368891.063756271,3466857.899897987,1747766.7723345966 
 02/17  18:00:00,11079856.071416972,5514884.4344747625,5514884.4344747625,5514884.4344747625,3772203.541028793,1771882.2784129106 
 02/17  19:00:00,11148688.43385275,5936377.747743254,5936377.747743254,5936377.747743254,3197244.324760332,1798849.0718490062 
 02/17  20:00:00,10759547.567919135,5860851.394397255,5860851.394397255,5860851.394397255,2874810.297261912,1804625.781179898 
 02/17  21:00:00,10098581.226279909,5788324.826793473,5788324.826793473,5788324.826793473,2300725.030324698,1790271.2740816688 
 02/17  22:00:00,10181447.431245055,5275040.848512863,5275040.848512863,5275040.848512863,2924790.820177148,1769950.510202433 
 02/17  23:00:00,10128882.27912467,4175767.1653783405,4175767.1653783405,4175767.1653783405,4015870.6647452833,1736022.105398689 
 02/17  24:00:00,8569337.175352985,3228431.3064444675,3228431.3064444675,3228431.3064444675,5147448.765146094,0.0 
 02/18  01:00:00,8840319.285327317,2498479.0097388276,2498479.0097388276,2498479.0097388276,6151596.374518452,0.0 
 02/18  02:00:00,10933940.004796894,2287908.203727021,2287908.203727021,2287908.203727021,6798955.204260686,1656832.6957391482 
 02/18  03:00:00,8479389.027755953,2218387.455766968,2218387.455766968,2218387.455766968,6070757.670918948,0.0 
 02/18  04:00:00,8719380.196258971,2167160.80380385,2167160.80380385,2167160.80380385,6361975.491385084,0.0 
 02/18  05:00:00,8782780.144298052,2326991.86639299,2326991.86639299,2326991.86639299,6261260.106578509,0.0 
 02/18  06:00:00,11181598.840546273,2888368.680950925,2888368.680950925,2888368.680950925,6383391.823044265,1708348.2260576943 
 02/18  07:00:00,12068011.156931397,3455726.295687276,3455726.295687276,3455726.295687276,6797290.733540118,1799999.1818062009 
