Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/05  11:00:00,17138898.598284863,3201316.809840188,3201316.809840188,3201316.809840188,12128432.8530527,1805132.4320264938 
 02/05  12:00:00,15232723.343330693,3245056.7517732778,3245056.7517732778,3245056.7517732778,10204815.178933127,1778834.9092588057 
 02/05  13:00:00,14069415.134534294,3197289.398662933,3197289.398662933,3197289.398662933,9109309.774477277,1758799.458028602 
 02/05  14:00:00,12846896.226925746,3143544.016284607,3143544.016284607,3143544.016284607,7953327.887070619,1746007.8202050375 
 02/05  15:00:00,11692114.913022272,3152610.4832543777,3152610.4832543777,3152610.4832543777,6800409.062854252,1735078.86354816 
 02/05  16:00:00,9925865.142398808,3436226.8211706067,3436226.8211706067,3436226.8211706067,6482676.382061365,0.0 
 02/05  17:00:00,12262219.279898789,4368891.063756271,4368891.063756271,4368891.063756271,6133691.976404841,1744641.2938398758 
 02/05  18:00:00,13169341.880002331,5514884.4344747625,5514884.4344747625,5514884.4344747625,5864852.087557499,1768719.5404695629 
 02/05  19:00:00,13903968.703595793,5936377.747743254,5936377.747743254,5936377.747743254,5956141.781381064,1795231.884971318 
 02/05  20:00:00,14148338.51232744,5860851.394397255,5860851.394397255,5860851.394397255,6266650.24027934,1801576.782570775 
 02/05  21:00:00,14412346.981983509,5788324.826793473,5788324.826793473,5788324.826793473,6617662.221063625,1787099.839046341 
 02/05  22:00:00,14584323.319676373,5275040.848512863,5275040.848512863,5275040.848512863,7330928.785747531,1766688.4330633697 
 02/05  23:00:00,14604070.243109588,4175767.1653783405,4175767.1653783405,4175767.1653783405,8494526.651271256,1732554.082857631 
 02/05  24:00:00,12734683.07958236,3228431.3064444675,3228431.3064444675,3228431.3064444675,9312794.669375468,0.0 
 02/06  01:00:00,12969757.764959523,2519341.8750856025,2519341.8750856025,2519341.8750856025,10260171.98880388,0.0 
 02/06  02:00:00,14826368.460802216,2300485.626558334,2300485.626558334,2300485.626558334,10681335.222982287,1654303.7101915567 
 02/06  03:00:00,13362942.898317989,2226600.0926204654,2226600.0926204654,2226600.0926204654,10946098.904627485,0.0 
 02/06  04:00:00,14141365.057102757,2171740.4070940726,2171740.4070940726,2171740.4070940726,11779380.748938646,0.0 
 02/06  05:00:00,14647736.242506258,2335718.210080423,2335718.210080423,2335718.210080423,12117489.861099284,0.0 
