Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING_UNIT1:Zone Air Temperature [C](Hourly),ATTIC_UNIT1:Zone Air Temperature [C](Hourly),Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/20  16:00:00,13.108333333333334,22.184891857972953,14.316099754484645,6074961.282102406,3549357.552769049,3549357.552769049,3549357.552769049,781777.0293024378,1736864.7608640832 
 02/20  17:00:00,12.549999999999999,22.222381611449592,13.558549996812248,6979563.832487532,4479188.816479392,4479188.816479392,4479188.816479392,2485380.070110338,0.0 
 02/20  18:00:00,11.658333333333333,22.22247092444999,12.455394951921336,10887041.030503538,5624286.233621349,5624286.233621349,5624286.233621349,3466194.732361034,1775674.2470206467 
 02/20  19:00:00,9.858333333333333,22.22240946000953,10.894365987971364,11949014.653927129,6045788.3062472865,6045788.3062472865,6045788.3062472865,3884081.7783270776,1802927.279852603 
 02/20  20:00:00,8.316666666666666,22.222576342725347,9.540125195436058,12595427.225933194,5971945.160957614,5971945.160957614,5971945.160957614,4594835.962958362,1809386.0069371474 
 02/20  21:00:00,7.258333333333333,22.22256457188142,8.522731556778387,14084216.560513418,5899533.255808762,5899533.255808762,5899533.255808762,5864783.542913409,2100639.6667111753 
 02/20  22:00:00,6.8,22.222539344408982,7.956055255487581,14099236.839279141,5386254.039457358,5386254.039457358,5386254.039457358,7030584.486157006,1470733.0613121677 
 02/20  23:00:00,6.8,22.222465384994155,7.8692230227907976,14829452.269971943,4262786.538241955,4262786.538241955,4262786.538241955,8628771.242047116,1736672.146080512 
 02/20  24:00:00,7.091666666666666,22.222390433279738,7.985009821575538,15470560.079934271,3276627.552965166,3276627.552965166,3276627.552965166,10300436.761944665,1700038.6612620149 
 02/21  01:00:00,7.3,22.222474224856665,8.136821262100666,14318256.029914565,2519341.8750856025,2519341.8750856025,2519341.8750856025,11608670.253758924,0.0 
 02/21  02:00:00,7.3,22.22246837725108,8.061209888585154,15684996.120392641,2300485.626558334,2300485.626558334,2300485.626558334,13194266.592764271,0.0 
 02/21  03:00:00,7.3,22.22124750129591,8.179220549523414,15470901.564379418,2226600.0926204654,2226600.0926204654,2226600.0926204654,13054057.570688915,0.0 
 02/21  04:00:00,7.6499999999999995,22.221208495393668,8.510126411614,15544940.050870942,2171740.4070940726,2171740.4070940726,2171740.4070940726,13182955.742706832,0.0 
 02/21  05:00:00,8.191666666666666,22.221279565450846,8.958933271568018,17577456.187778804,2335718.210080423,2335718.210080423,2335718.210080423,13385984.66211278,1661225.14425905 
 02/21  06:00:00,8.691666666666666,22.22136518749325,9.474938179901528,15543270.124523833,2902111.397117286,2902111.397117286,2902111.397117286,12439668.616913157,0.0 
 02/21  07:00:00,8.9,22.221392204042147,9.700749874346949,16951509.6840038,3490045.529346395,3490045.529346395,3490045.529346395,11647585.844388725,1798883.364370876 
 02/21  08:00:00,9.191666666666666,22.22144914544521,10.035739435226931,15470711.069271727,3872409.4070758065,3872409.4070758065,3872409.4070758065,9742428.950361904,1842484.3672824078 
 02/21  09:00:00,9.75,22.221436430308117,10.691125242392694,15760078.546156898,3436548.288166884,3436548.288166884,3436548.288166884,8606067.73765665,3711571.6487306575 
 02/21  10:00:00,10.700000000000001,22.221908584462195,12.330728055675527,10305094.531041328,3287629.4627914913,3287629.4627914913,3287629.4627914913,5169762.0067694625,1843686.5581148923 
 02/21  11:00:00,12.775,22.222321039682697,15.292537575758217,7126147.69856519,3359522.254572048,3359522.254572048,3359522.254572048,1945649.1897537394,1816959.7508739205 
 02/21  12:00:00,15.883333333333333,22.210874011764066,17.275105723372278,5474924.1099827,3405817.7973429887,3405817.7973429887,3405817.7973429887,275737.19336838817,1789352.615905841 
 02/21  13:00:00,17.941666666666666,22.60648163589552,19.233438205141,5269391.484745707,3343416.5845005065,3343416.5845005065,3343416.5845005065,154285.71428571438,1767672.6825940032 
 02/21  14:00:00,20.033333333333335,23.440906079267027,21.706458732101154,5228737.7189536,3277253.218523652,3277253.218523652,3277253.218523652,194084.7879183222,1753383.2091461434 
 02/21  15:00:00,22.191666666666663,23.894011244500238,23.35579791084467,4226413.508958401,3272159.2094632606,3272159.2094632606,3272159.2094632606,749608.7098822165,200629.08624744145 
 02/21  16:00:00,22.900000000000002,23.889470149488307,23.51216059573886,6034264.034876239,3549357.552769049,3549357.552769049,3549357.552769049,942519.8743467904,1535424.6685935634 
 02/21  17:00:00,20.85833333333333,23.888351880494906,21.274637103273133,6738133.783065237,4479188.816479392,4479188.816479392,4479188.816479392,493799.7541669078,1750150.2665211365 
 02/21  18:00:00,17.533333333333335,23.684750419730506,17.776028271684122,7573709.101008585,5624286.233621349,5624286.233621349,5624286.233621349,154285.71428571438,1774251.3356010127 
 02/21  19:00:00,14.858333333333334,23.196987880019716,15.061489024768361,8218023.928273663,6045788.3062472865,6045788.3062472865,6045788.3062472865,154285.71428571438,1801732.618240504 
 02/21  20:00:00,13.316666666666668,22.809903762934837,13.444108552026035,8153979.106967324,5971945.160957614,5971945.160957614,5971945.160957614,154285.71428571438,1808488.1366439287 
 02/21  21:00:00,12.258333333333333,22.38806658112531,12.322603832552408,8066825.870295379,5899533.255808762,5899533.255808762,5899533.255808762,154285.71428571438,1793746.8051208335 
 02/21  22:00:00,10.75,22.19524975421206,11.514923034769751,9292524.855068348,5386254.039457358,5386254.039457358,5386254.039457358,1921597.2990079194,1773008.264250459 
 02/21  23:00:00,9.358333333333334,22.222549779112118,10.494617599395003,10083850.346882815,4262786.538241955,4262786.538241955,4262786.538241955,3883038.2558165286,1736803.2092219733 
 02/21  24:00:00,8.316666666666666,22.222512532456324,9.417728626958008,9460572.15040092,3276627.552965166,3276627.552965166,3276627.552965166,5990487.493673329,0.0 
 02/22  01:00:00,6.208333333333333,22.2224553813508,8.913748081423066,10408157.172031522,2498479.0097388276,2498479.0097388276,2498479.0097388276,7719434.261222655,0.0 
 02/22  02:00:00,5.7,22.22239719883844,8.340313512806114,12925329.517536826,2287908.203727021,2287908.203727021,2287908.203727021,8794290.48376862,1652886.9289711476 
 02/22  03:00:00,5.5,22.22240897647617,7.545474559721995,12276837.87697355,2218387.455766968,2218387.455766968,2218387.455766968,9868206.520136546,0.0 
 02/22  04:00:00,5.7,22.22239387448987,6.998426874332892,13003056.703257114,2167160.80380385,2167160.80380385,2167160.80380385,10645651.998383226,0.0 
 02/22  05:00:00,3.6333333333333333,22.222413250396944,6.742121427967056,14727528.960678656,2326991.86639299,2326991.86639299,2326991.86639299,12206008.922959113,0.0 
 02/22  06:00:00,2.441666666666667,22.222551914541043,5.646310364447821,17998903.961572506,2888368.680950925,2888368.680950925,2888368.680950925,13204863.32295544,1704181.8471727497 
 02/22  07:00:00,2.5500000000000003,22.22241785596607,4.39956915083483,18988520.79707558,3455726.295687276,3455726.295687276,3455726.295687276,13723261.482052315,1794538.073438185 
 02/22  08:00:00,3.525,22.221679761467794,5.341349514655864,10927877.081558071,3804342.957438114,3804342.957438114,3804342.957438114,5276470.9016040685,1833674.877964282 
