Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LIVING_UNIT1 [J](Hourly),Electricity:SpaceType:GENERAL [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly) 
 02/04  09:00:00,5337224.901966174,3331560.1762823085,3331560.1762823085,3331560.1762823085,154285.71428571438,1845488.139795444 
 02/04  10:00:00,5134586.328428329,3145052.4172653225,3145052.4172653225,3145052.4172653225,154285.71428571438,1831231.6935118092 
 02/04  11:00:00,5164269.87922077,3201316.809840188,3201316.809840188,3201316.809840188,154285.71428571438,1804650.8517293856 
 02/04  12:00:00,5181878.879949708,3245056.7517732778,3245056.7517732778,3245056.7517732778,154285.71428571438,1778519.9105252323 
 02/04  13:00:00,5113718.239830603,3197289.398662933,3197289.398662933,3197289.398662933,154285.71428571438,1758126.6235164744 
 02/04  14:00:00,5077531.16187444,3143544.016284607,3143544.016284607,3143544.016284607,184548.0463894888,1745422.595834861 
 02/04  15:00:00,5235778.539178891,3152610.4832543777,3152610.4832543777,3152610.4832543777,344787.1720346296,1734364.3805244018 
 02/04  16:00:00,3670364.202293568,3436226.8211706067,3436226.8211706067,3436226.8211706067,227175.4419561247,0.0 
 02/04  17:00:00,6282149.926506776,4368891.063756271,4368891.063756271,4368891.063756271,154285.71428571438,1743978.20256699 
 02/04  18:00:00,7458303.454601267,5514884.4344747625,5514884.4344747625,5514884.4344747625,154285.71428571438,1768247.4883402823 
 02/04  19:00:00,8102220.651691431,5936377.747743254,5936377.747743254,5936377.747743254,154285.71428571438,1795339.9001623061 
 02/04  20:00:00,8887314.753344214,5860851.394397255,5860851.394397255,5860851.394397255,1005663.4780480221,1801539.785818867 
 02/04  21:00:00,10807004.273881122,5788324.826793473,5788324.826793473,5788324.826793473,3012552.3452337,1786867.0067738788 
 02/04  22:00:00,11799549.816539668,5275040.848512863,5275040.848512863,5275040.848512863,4545863.4408236155,1766980.2748505794 
